start,codename,description
L,LILLIPUT,LILLIPUT World War II operation to defend Buna (1942)
L,LIME,LIME Gulf War VII Corps phase line
L,LITTLE SWITCH,LITTLE SWITCH Korean War operation for the repatriation of sick and wounded prisoners of war
L,LONDON,LONDON World War II phase line for XVIII Airborne Corps near Wesel, Germany
L,LUMBERJACK,LUMBERJACK World War II (February-March 1945) converging offensive by First and Third Armies to create a pocket of trapped Germans in the Eifel
M,MAGIC,MAGIC World War II signals intelligence derived from interception of Japanese encoded message traffic
M,MAGNET,MAGNET World War II movement of the first US forces into Northern Ireland
M,MAGNETO,MAGNETO World War II code name for the Yalta portion of the Argonaut Conference
M,MAILFIST,MAILFIST World War II (1945) recapture of Singapore
M,MAINYARD,MAINYARD World War II code name for the island of Guadalcanal (not an operation name)
M,MALLORY MAJOR,MALLORY MAJOR World War II air offensive against the bridges over the Po River
M,MANNA,MANNA World War II British occupation of southern Greece
M,MARKET,MARKET World War II airborne operation in September 1944 Holland designed to facility ground force crossing of lower Rhine River (also see GARDEN)
M,MARS,MARS World War II code name for the US task force in the China-Burma-India Theater of Operations that was the 5332d Brigade (Provisional)
M,MELLON,MELLON Gulf War VII Corps phase line
M,MICHAELMAS,MICHAELMAS World War II code name for the task force for the seizure of Saidor on New Guinea
M,MIKE ONE,MIKE ONE World War II plan for the invasion of Lingayen Gulf
M,MIKE TWO,MIKE TWO World War II plan for the invasion of Dingalan Bay
M,MIKE THREE,MIKE THREE World War II plan for the invasion of Vigan
M,MIKE FOUR,MIKE FOUR World War II plan for the invasion of Nasugbu and Balayan Bays
M,MIKE SIX,MIKE SIX World War II plan for the invasion of Batangas and Tayabas Bays
M,MIKE SEVEN,MIKE SEVEN World War II plan for the invasion of the Zambales coast
M,MINCEMEAT,MINCEMEAT World War II cover plan to divert attention from Operation HUSKY to induce the Axis to believe that Allied objectives were Sardinia and the Peloponnesus instead of Sicily
M,MINERVA,MINERVA World War II code name for the 6 November 1942 embarkation of General Henri Giraud from southern France
M,MINNESOTA,MINNESOTA Gulf War code name for a VII Corps phase line
M,MONACO,MONACO Gulf War VII Corps phase line
M,MONTCLAIR,MONTCLAIR World War II; final name given to PRINCETON
M,MORGENLUFT,MORGENLUFT World War II (February 1943) German attack by the Afrika Korps against Gafsa after Operation FRUEHLINGSWIND
M,MUSKET,MUSKET World War II plan for a projected landing in 1943 on the heel of the Italian peninsula near Taranto
M,MUSKETEER,MUSKETEER World War II basic plan for operation to liberate the Philippine Islands
M,MUSTANG,MUSTANG World War II plan (canceled) for an overland seizure of Naples after initial landings in Calabria
N,NEPTUNE,NEPTUNE World War II plan for the actual 1944 operations within OVERLORD; used for security reasons after September 1943 on all OVERLORD planning papers that referred to the target area and date
N,NEW GALAHAD,NEW GALAHAD World War II code name for American long-range penetration groups in Burma
N,NEW JERSEY,NEW JERSEY Gulf War code name for a VII Corps phase line
N,NEW YOR,KNEW YORK World War II XVIII Airborne Corps phase line in the Ringenberk-Krudenberg area in Germany
N,NEWMARKET,NEWMARKET Code name for the 101st Airborne Division's main supply route to Forward Operating Base COBRA during DESERT STORM
N,NIMROD,NIMROD DANCER United States Southern Command build-up of rotational forces in Panama, summer of 1989
N,NORDWIND,NORDWIND World War II German January 1945 offensive against the Seventh Army in Alsace (launched 31 December 1944)
N,NUNTON,NUNTON World War II (March 1944) Allied cover and deception plan
O,OCHSENKOPF,OCHSENKOPF World War II (26 February 1943) German operation to extend the Tunis bridgehead by capturing Bédja and Medjez el Bab
O,OCTAGON,OCTAGON World War II code name for the Quebec Conference, September 1944
O,OLIVE,OLIVE World War II (September 1944) attack on the Gothic Line in Italy
O,OLIVENERNTE,OLIVENERNTE World War II (January 1943) German plan (cancelled) to capture Medjez el Bab
O,OLYMPIC,OLYMPIC World War II plan (not executed) for the March 1946 invasion of the island of Kyushu
O,OMAHA,OMAHA World War II code name for the assault beach at Normandy assigned to V Corps
O,OMAHA,OMAHA Gulf War VII Corps phase line
O,ORANGE,ORANGE Pre-World War II plan within the RAINBOW matrix for unilateral conflict between the United States and Japan; ORANGE 1 was approved in 1938, ORANGE 3 in April 1941
O,ORANGE,ORANGE Gulf War code name for an XVIII Airborne Corps objective (Jalibah Air Base)
O,OVERLORD,OVERLORD World War II (6 June 1944) Allied cross-Channel invasion of northwest Europe
O,OVERWHELMING,OVERWHELMING Korean War (1951) plan for an offensive by Eighth Army to the P'yonggang-Wonsan line (cancelled)
P,PANTHER,PANTHER World War II British 10 Corps drive across the Garigliano River in Italy
P,PARASOL-SWITCHBACK,PARASOL-SWITCHBACK Vietnam 1963 program supplying founds for use with the Civilian Irregular Defense Group (CIDG) program
P,PARIS,PARIS World War II XVIII Airborne Corps phase line west of Erle, Germany
P,PATRIOT DEFENDER,PATRIOT DEFENDER Name applied to United States European Command deployment of Patriot missiles to Israel in 1991 during Gulf War
P,PEAR,PEAR Gulf War VII Corps phase line
P,PERPETUAL,PERPETUAL World War II (11 November 1942) Eastern Task Force reserve's landing at Bougie
P,PERSECUTION,PERSECUTION World War II operation to capture Aitape (1944)
P,PESTILENCE,PESTILENCE COMSOPAC OPLAN 1-42, 16 July 1942, World War II plan for "Task One" to launch the initial offensive operation in Guadalcanal and the southern Solomon Islands
P,PICADILLY,PICADILLY World War II code name for a drop site for the Chindits in Burma
P,PIGSTICK,PIGSTICK World War II limited operation (cancelled) on the south Mayu Peninsula
P,PILEDRIVER,PILEDRIVER Korean War (1951) counterattack operation
P,PINK,PINK Korean War (December 1950) emergency shipment of logistical support from the Continental United States to build up the Far East Command
P,PLATINUM,PLATINUM Gulf War name for 1st (United Kingdom) Armoured Division objective
P,PLUM,PLUM Gulf War phase line for 1st Armored Division movement from Tactical Assembly Area THOMPSON to Forward Assembly Area GARCIA
P,PLUNDER,PLUNDER World War II (March 1945) 21 Army Group assault across the Rhine north of the Ruhr
P,POINTBLANK,POINTBLANK World War II combined bomber offensive against Germany from bases in the United Kingdom
P,POLECHARGE,POLECHARGE Korean War plan for the capture of hill objectives on the JAMESTOWN line during Operation COMMANDO
P,POPLAR TREE,POPLAR TREE United States Southern Command 1989 plan (not executed) for possible evacuation of personnel from El Salvador
P,POSTERN,POSTERN World War II operation to capture Lae-Finschhofen-Madang
P,POWERPACK,POWERPACK United States Atlantic Command operation 1965-1966 in the Dominican Republic
P,PRINCETON,PRINCETON World War II plan establishing the basic outline for the reoccupation of the Visayas-Mindanao-Borneo-Netherlands East Indies area (later renamed MUSKETEER)
P,PRODUCTIVE EFFORT,PRODUCTIVE EFFORT Original name for SEA ANGEL
P,PROMOTE LIBERTY,PROMOTE LIBERTY United States Southern Command stability operation conducted in Panama in 1990 after the conclusion of JUST CAUSE
P,PROVEN,PROVEN FORCE United States European Command joint task force operation from Turkey as part of the Gulf War
P,PROVIDE COMFORT,PROVIDE COMFORT United States European Command operations (two) conducted in Turkey in support of Kurdish refugees from northern Iraq
P,PROVIDE HOPE,PROVIDE HOPE United States European Command humanitarian relief operation in 1992 in the former Soviet Union
P,PROVIDE PROMISE,PROVIDE PROMISE United States European Command humanitarian relief operation 1991-1993 in the Former Republic of Yugoslavia
P,PROVIDE REFUGE,PROVIDE REFUGE United States Pacific Command humanitarian relief operation in 1993 at Kwajalein Atoll
P,PROVIDE RELIEF,PROVIDE RELIEF United States Central Command humanitarian relief operation in 1992 staged by a joint task force operating from base in Kenya
P,PROVIDE TRANSITION,PROVIDE TRANSITION United States Air Force operation in 1992 in Angola
P,PROVIDENCE,PROVIDENCE World War II plan (canceled) for the occupation of the Buna area of New Guinea
P,PUGILIST-GALLOP,PUGILIST-GALLOP World War II (1943) attack to outflank the Mareth Line in Tunisia
P,PURPLE,PURPLE Gulf War code name for an VII Corps objective
P,PURPLE,PURPLE STORM United States Southern Command exercises in Panama in 1989 to both assert United States treaty rights and to conduct tactical rehearsals for JUST CAUSE
P,PYTHON,PYTHON Gulf War attack position near Al Busayyah used by Aviation Brigade, 1st Armored Division
Q,QUADRANT,QUADRANT World War II code name for the Quebec Conference (August 1943)
Q,QUEEN,QUEEN World War II 12th Army Group operation on the Roer plain between the Wurm and the Roer Rivers
Q,QUICK,QUICK LIFT 1991 evacuation of personnel in Zaire
R,RAINBOW,RAINBOW Term used to apply to the collection of war plans developed prior to World War II (each of which was named with a color); RAINBOW 5 was published in October 1941
R,RAINCOAT,RAINCOAT World War II assault on the Camino hill mass in Italy
R,RALEIGH,RALEIGH Gulf War code name for a VII Corps objective
R,RAM,RAM Gulf War code name for an XVIII Airborne Corps phase line
R,RASHNESS,RASHNESS World War II revised CORONADO plan
R,RAVENOUS,RAVENOUS World War II plan by 4 Corps for the recapture of northern Burma
R,RAZOR,RAZOR Gulf War code name for an XVIII Airborne Corps phase line
R,RECKLESS,RECKLESS World War II operation to capture Hollandia (1944)
R,RED,RED Gulf War code name for an XVIII Airborne Corps objective
R,RENO,RENO GEN Douglas MacArthur's World War II plan for an advance along the northern coast of New Guinea to Mindanao
R,RESERVIST,RESERVIST World War II code name for the seizure of vital points at Oran and the landing of Allied forces to prevent sabotage in the harbor
R,RESTORE,RESTORE HOPE United States Central Command humanitarian relief operation in Somalia, December 1992-May 1993
R,RETRIBUTION,RETRIBUTION World War II (April-June 1943) plan to prevent Axis forces from reaching Italian territory if they should attempt to evacuate Tunisia
R,RINGBOLT,RINGBOLT World War II operation to capture Tulagi (a sub-task of WATCHTOWER)
R,RIPPER,RIPPER Korean War (1951) offensive against Ch'unch'on
R,RIPPER,RIPPER Gulf War code name for an XVIII Airborne Corps phase line
R,RO,RO World War II Japanese air operation to augment the air forces at Rabaul and delay Allied offensives
R,ROAST,ROAST World War II operation to clear Comacchio Spit, Italy
R,ROCHAMBEAU,ROCHAMBEAU 6th (French) Light Armored Division's intermediate objective during operation DESERT STORM while under the tactical control of XVIII Airborne Corps
R,ROGER,ROGER World War II capture of Phuket Island of the Kra Isthmus in Burma
R,ROMEO,ROMEO World War II code name for the French commando force that landed at Cap Nègre
R,ROMULUS,ROMULUS World War II Arakan part of CAPITAL
R,ROOSTER,ROOSTER World War II operation to fly the Chinese 22d Division to Chihchiang
R,ROSE,ROSE World War II operation (April 1945) in the Ruhr pocket
R,ROSIE,ROSIE World War II code name for the French naval force that landed southwest of Cannes during DRAGOON
R,ROUNDHAMMER,ROUNDHAMMER World War II plan for a cross-Channel operation intermediate in size between SLEDGEHAMMER and ROUNDUP
R,ROUNDUP,ROUNDUP World War II (1943) plan for the cross-Channel operation
R,ROUNDUP,ROUNDUP Korean War (1951) X Corps advance on Hongch'on-P'yonch'ang
R,RUGBY,RUGBY World War II code name for the airborne forces dropping behind the beaches during the invasion of Southern France
R,RUGGED,RUGGED Korean War (1951) advance to the Imjin River
S,SABER,SABER Gulf War code name for an XVIII Airborne Corps area of operations
S,SALAMANDER,SALAMANDER French code name for air component of Operation DAGUET (Gulf War)
S,SAND,SAND FLEA United States Southern Command exercises in Panama in 1989 to both assert United States treaty rights and to conduct tactical rehearsals for JUST CAUSE
S,SATIN,SATIN World War II (December 1942) plan (canceled) for II Corps to attack Sfaz, Tunisia
S,SATURATE,SATURATE Korean War plan for the interdiction bombing of North Korean railroads
S,SAUCY,SAUCY World War II limited offensive to reopen a land supply route from Burma to China
S,SCATTER,SCATTER Korean War screening plan for the repatriation of prisoners of war
S,SCIMITAR,SCIMITAR Canadian code name for its participation in the Gulf War
S,SCIPIO,SCIPIO World War II (6 April 1942) attack by the Eighth Army at Akarit wadi
S,SEA ANGEL,SEA ANGEL United States Pacific Command disaster relief operation in 1991 in Bangladesh
S,SEA ANGEL II,SEA ANGEL II United States Pacific Command disaster relief operation in 1992 in Bangladesh
S,SEELOEWE,SEELOEWE World War II (1940-1941) German plan (canceled) for the invasion of the United Kingdom [SEA LION]
S,SEXTANT,SEXTANT World War II code name for the Cairo Conferences (22-26 November and 3-7 December 1943)
S,SHARP,SHARP EDGE United States Marine Corps-let noncombatant evacuation operation 5-21 August 1990 in Liberia
S,SHINGLE,SHINGLE World War II (22 January 1944) amphibious operation at Anzio
S,SHO,SHO World War II Japanese plan for a counterattack against US forces in the western Pacific
S,SHOWDOWN,SHOWDOWN Korean War plan designed to improve IX Corps defensive line positions north of Kumhwa
S,SIEGFRIED,SIEGFRIED World War II German plan for the occupation of the southern coast of France as part of Operation ACHSE
S,SITKA,SITKA World War II code name for the task force that captured the islands of Levant and Port Cros in the Mediterranean
S,SLAPSTICK,SLAPSTICK World War II (9 September 1943) British airborne landing at Taranto, Italy, mounted from Bizerte, Tunisia
S,SLEDGEHAMMER,SLEDGEHAMMER World War II (1942) plan for a limited cross-Channel attack
S,SMACK,SMACK Korean War plan for a combined air-tank-infantry-artillery test strike
S,SMASH,SMASH Gulf War code name for a phase line applying to both XVIII Airborne Corps and VII Corps
S,SOUTHERN,SOUTHERN STORM Gulf War code name used by 24th Infantry Division in preliminary planning for an offensive operation into Kuwait
S,SOUTHERN,SOUTHERN WATCH United States Central Command operations initiated after Gulf War to enforce United Nations "no-fly" restrictions in southern Iraq
S,SPAIN,SPAIN Gulf War VII Corps phase line
S,STALEMATE,STALEMATE World War II invasion of the Palaus
S,STEEL,STEEL BOX Removal of chemical weapons from Germany 26 June-22 September 1990
S,STEWART,STEWART Gulf War code name for an XVIII Airborne Corps area of operations
S,STRANGLE,STRANGLE World War II (March-May 1944) air operations to interdict the movement of Axis supplies in Italy
S,STRANGLE,STRANGLE Korean War (1951) air operations to disrupt North Korean logistics by interdiction bombing
S,STURMFLUT,STURMFLUT World War II (19-22 February 1943) German operation by Field Marshal Rommel against the Kasserine Pass and Sbiba gap
S,SUNDIAL,SUNDIAL Korean War plan to establish the DULUTH defensive line
S,SUPERCHARGE,SUPERCHARGE World War II (November 1942) breakout by British 30 Corps in Egypt as part of Eighth Army's offensive in the Western Desert
S,SUPERCHARGE,SUPERCHARGE World War II (March 1943) revised plan for the assault on the Mereth Line
S,SUPER-GYMNAST,SUPER-GYMNAST World War II plan for Anglo-American invasion of French North Africa, combining US and British plans [often used interchangeably with GYMNAST]
S,SWITCHBACK,SWITCHBACK Vietnam program November 1962-July 1963 in which the Army began assuming responsibility for the U.S. participation in the CIDG program
S,SWORD,SWORD World War II code name for the assault beach at Normandy assigned to British 3d Division
S,SYMBOL,SYMBOL World War II cover name for the Casablanca Conference (14-23 January 1943)
T,TALISMAN,TALISMAN World War II name for early plan for post-hostilities activities in Germany
T,TALON,TALON World War II Akyab part of CAPITAL
T,TALONS,TALONS Korean War outline plan for a ground offensive to bolster the Eighth Army's eastern front
T,TANGERINE,TANGERINE Gulf War code name for a VII Corps phase line
T,TARZAN,TARZAN World War II India-based portion of the general offensive in Burma
T,TED,TED World War II code name for a task force operating in the Aitape area of New Guinea
T,TERMINAL,TERMINAL World War II (8 November 1942) operation in the harbor of Algiers
T,TERMINAL,TERMINAL World War II code name for the Potsdam Conference (16 July-2 August 1945)
T,TEXAS,TEXAS XVIII Airborne Corps north-south main supply route in Iraq during DESERT STORM; extended from the vicinity of Rafha, Saudi Arabia, to As Salman, Iraq
T,TEXAS,TEXAS Gulf War VII Corps phase line
T,THESEUS,THESEUS World War II (1942) German plan for operations in Libya
T,THOMPSON,THOMPSON Gulf War Tactical Assembly Area for 1st Armored Division
T,THUNDERBOLT,THUNDERBOLT World War II offensive in the Metz area
T,THUNDERBOLT,THUNDERBOLT Korean War (1951) reconnaissance in force operations up to the Han River
T,TIDALWAVE,TIDALWAVE World War II code name for the 1943 low level attack on Ploesti, Rumania, by heavy bombers
T,TIGER,TIGER World War II code name for one of the rehearsal exercises for OVERLORD
T,TOENAILS,TOENAILS World War II operation to capture New Georgia
T,TOGO,TOGO World War II second phase of the Japanese ICHIGO operation
T,TOMAHAWK,TOMAHAWK Korean War (1951) airborne operation by the 187th Regimental Combat Team at Munsan-ni as part of Operation COURAGEOUS
T,TORCH,TORCH World War II (November 1942) Allied invasion of northwest Africa
T,TOREADOR,TOREADOR World War II airborne assault on Mandalay
T,TORNADO,TORNADO World War II operation to capture Wakde-Sarmi (1944)
T,TOUCHDOWN,TOUCHDOWN Korean War operation to gain control of Heartbreak Ridge
T,TRADEWIND,TRADEWIND World War II operation to capture Morotai (1944)
T,TRANSFIGURE,TRANSFIGURE World War II plan (cancelled) for airborne operations on the west side of the Seine River to block German escape routes
T,TREBOR,TREBOR Gulf War British name for Special Boat Service operation 28 February 1991 to reoccupy their embassy in Kuwait City
T,TRIDENT,TRIDENT World War II cover name for the Washington Conference (12-25 May 1943)
T,TULSA,TULSA World War II first outline plan by General Headquarters, Southwest Pacific Area, for operations directed at the capture of Rabaul
T,TUNGSTEN,TUNGSTEN Gulf War name for 1st (United Kingdom) Armoured Division objective
T,TWILIGHT,TWILIGHT World War II plan to base B-29 bombers in the China-Burma-India Theater of Operations
T,TYPHOON,TYPHOON World War II operation to capture Sansapor-Mar (1944) in New Guinea
U,ULTRA,ULTRA World War II signals intelligence derived from interception and decoding of German ENIGMA machine ciphers
U,UNDERTONE,UNDERTONE World War II (March-April 1945) offensive by Third and Seventh Armies to break through the West Wall and clear the Saar-Palatinate triangle (area within the Rhine, Moselle, and Lauter-Saar Rivers), and to secure a bridgehead east of the Rhine River in the vicinity of Worms
U,UPHOLD DEMOCRACY,UPHOLD DEMOCRACY United States Atlantic Command permissive entry stability operation in Haiti, 1994-1995
U,URGENT,URGENT FURY United States Atlantic Command invasion of Grenada, 1983
U,UTAH,UTAH World War II code name for the assault beach at Normandy assigned to VII Corps
V,VANGUARD,VANGUARD Gulf War code name for an XVIII Airborne Corps area of operations
V,VARSITY,VARSITY World War II First Allied Airborne Army operation for crossing of Rhine River in vicinity of Wesel, Germany, in 1945 in support of Operation PLUNDER
V,VERITABLE,VERITABLE World War II Canadian First Army operation to clear the area between the Maas and Rhine Rivers
V,VERMONT,VERMONT Gulf War VII Corps phase line (Saudi Arabia-Iraq border)
V,VICTOR,VICTOR I World War II operation in Panay and Negros Occidental
V,VICTOR,VICTOR II World War II operation in Cebu, Bohol, and Negros Oriental
V,VICTOR,VICTOR III World War II Eighth Army operation against Palawan
V,VICTOR,VICTOR IV World War II Eighth Army operation against the Sulu Archipelago and the Zamboanga area of Mindanao
V,VICTOR,VICTOR V World War II Eighth Army operations against western Mindanao
V,VICTOR,VICTOR SQUARED September 1991 plan for possible evacuation of personnel from Haiti
V,VICTORY,VICTORY Gulf War code name for an XVIII Airborne Corps phase line
V,VIKING,VIKING Gulf War code name for an XVIII Airborne Corps phase line
V,VIPER,VIPER (FOB) Forward Operating Base (FOB) of the 101st Airborne Division in Iraq secured by deep air assault on 27 February 1991 during the preparations for the decisive engagement with the Republican Guard Forces Command near Basrah during DESERT STORM
V,VIRGINIA,VIRGINIA XVIII Airborne Corps east-west main supply route in Iraq during DESERT STORM
V,VULCAN,VULCAN World War II (6 May 1943) final Allied offensive to clear Axis forces from Tunisia, particularly the Cape Bon area
W,WATCHTOWER,WATCHTOWER World War II operation to capture Guadalcanal and Tulagi (a sub-task of PERSECUTION)
W,WEBFOOT,WEBFOOT World War II rehearsal for SHINGLE
W,WHITE,WHITE 6th (French) Light Armored Division's final objective (the town and airfield at As Salman, Iraq) during operation DESERT STORM while under the tactical control of XVIII Airborne Corps
W,WINTERGEWITTER,WINTERGEWITTER World War II (26 December 1944) German limited objective counterattack against the IV Corps
W,WOLF,WOLF Gulf War code name for an XVIII Airborne Corps area of operations
W,WOLFHOUND,WOLFHOUND Korean War (1951) attack by the 25th Infantry Division in the Suwon-Osan area
W,WOP,WOP World War II (17 March 1943) opening attack by II Corps against Gafsa
W,WRANGLER,WRANGLER Korean War plan to follow up CUDGEL with an amphibious operation on the east coast of Korea
Y,YOKE,YOKE World War II code word for all US organizations working with Y-Force in the China-Burma-India Theater of Operations
Z,ZEBRA,ZEBRA World War II code word for US-sponsored Chinese division in east China
Z,ZINC,ZINC Gulf War name for 1st (United Kingdom) Armoured Division objective
Z,ZIPPER,ZIPPER World War II (1945) plan for assault on Malaya
